"reaction number","true rclass","true reaction smiles","true prod","pred reaction smiles","pred prod","conf","projID","retroID","true_deltaCM","true_deltaSA","retpred_deltaCM","retpred_deltaSA"
12.,"elimination","ClC1CCCCC1.[O-]C>>C2CCCC=C2","C2CCCC=C2","[H][H].c1ccccc1>>C2CCCC=C2","C2CCCC=C2",0.299,"602c6e99329a1000012c1439","6031b8c371c8b600012f55cb",-24.954559846999825,-3.7558848033411563,8.415037499278844,-5.70130157731756
13.,"elimination","OCC1CCCCC1.O=S(O)(O)=O>>CC2=CCCCC2","CC2=CCCCC2","CC1(O)CCCCC1.O=P(O)(O)O>>CC2=CCCCC2","CC2=CCCCC2",0.932,"602c6e99329a1000012c1439","6031b8df71c8b600012f5615",-27.18947501009619,-1.4182989120323821,-34.50023726270467,-2.6215326365687144
14.,"elimination","BrC1(C)CCCC1.[O-]C>>CC2=CCCC2","CC2=CCCC2","CC1(O)CCCC1.Cc1ccc(S(=O)(=O)O)cc1>>CC2=CCCC2","CC2=CCCC2",0.855,"602c6e99329a1000012c1439","6031b90a71c8b600012f569b",-13.614709844115211,-4.547166791909865,-103.20902501875004,-1.4839311372208464
15.,"elimination","BrC(C)C(CC)C.[O-]C(C)(C)C>>C/C=C(CC)\C","C/C=C(CC)\C","C/C=C(\C)CCl.C1CCOC1.CC[Mg]Br>>C/C=C(CC)\C","C/C=C(CC)\C",0.000019600000000000002,"602c6e99329a1000012c1439","6031b93471c8b600012f5732",-75.14403485709603,-3.2496042438032795,-66.39934468967273,-7.968702197987113
16.,"elimination","BrC(C)(C)C1=CC=CC=C1.[O-]C(C)(C)C>>C=C(C)C2=CC=CC=C2","C=C(C)C2=CC=CC=C2","C1CCOC1.CC(=O)c1ccccc1.CC(C)(C)[O-].[K+].C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-].CC(C)(C)[O-].[K+].C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]>>C=C(C)C2=CC=CC=C2","C=C(C)C2=CC=CC=C2",1.,"602c6e99329a1000012c1439","6031b9d271c8b600012f59ce",-38.78463484555751,-3.29276204943063,-277.04911228433934,-44.3555026289893
17.,"elimination","BrCCC.[O-]C(C)(C)C>>C=CC","C=CC","C>>C=CC","C=CC",0.0775,"602c6e99329a1000012c1439","6031b9fc71c8b600012f5a53",-37.61470984411521,-2.438748236275207,12.169925001442312,-4.3216275767496315
18.,"elimination","BrCC(CC)CC.[O-]C(C)(C)C>>C=C(CC)CC","C=C(CC)CC","CCC(=O)CC.CCOCC.C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-].[Li]CCCC.C[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]>>C=C(CC)CC","C=C(CC)CC",0.999,"602c6e99329a1000012c1439","6031ba3171c8b600012f5ac5",-37.95455984699983,-2.69700295898782,-246.7092622814547,-26.76545029403821
19.,"elimination","CCCC(C)(C)Br.[OH-]>>CC/C=C(C)/C","CC/C=C(C)/C","CC(C)=O.CCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[Br-]>>CC/C=C(C)/C","CC/C=C(C)/C",1.,"602c6e99329a1000012c1439","6031ba5a71c8b600012f5c27",-20.4447848426729,-8.88044620899754,-109.68470613928507,-9.730769991959164
20.,"elimination","BrC1C(Br)CCCC1.[OH-]>>C2=CCCC=C2","C2=CCCC=C2","[H][H].c1ccccc1>>C2=CCCC=C2","C2=CCCC=C2",0.418,"602c6e99329a1000012c1439","6031ba9071c8b600012f5ce8",-40.29440984988446,-8.974476795398989,9.584962500721156,-5.138270808086791
21.,"grignard","O=C1CCCCC1.C[Mg]Br>>CC2(O)CCCCC2","CC2(O)CCCCC2","C[Mg]I.O=C1CCCCC1>>CC2(O)CCCCC2","CC2(O)CCCCC2",1.,"602c6ec6329a1000012c1443","602c907f329a1000012c2f1c",-13.614709844115211,-6.190533553585402,-13.614709844115211,-6.386687399739246
22.,"grignard","Br[Mg]C1CCCCC1.CC([H])=O>>CC(O)C2CCCCC2","CC(O)C2CCCCC2","C[Mg]Br.O=CC1CCCCC1>>CC(O)C2CCCCC2","CC(O)C2CCCCC2",1.,"602c6ec6329a1000012c1443","602c90a9329a1000012c2f99",1.895065160211729,-4.67826489950064,7.064990161654038,-6.418913060035756
23.,"grignard","Br[Mg]C1=CC=CC=C1.[H]C(CCC)=O>>OC(CCC)C2=CC=CC=C2","OC(CCC)C2=CC=CC=C2","Br[Mg]c1ccccc1.CCCC=O>>OC(CCC)C2=CC=CC=C2","OC(CCC)C2=CC=CC=C2",1.,"602c6ec6329a1000012c1443","602c90d4329a1000012c300c",1.0649901616540376,-4.486028296133351,1.0649901616540376,-4.486028296133351
24.,"grignard","[H]C(C1CCCC1)=O.Br[Mg]C2CCCCC2>>OC(C3CCCC3)C4CCCCC4","OC(C3CCCC3)C4CCCCC4","CCO.O=C(C1CCCCC1)C1CCCC1.[BH4-].[Na+].[BH4-].[Na+]>>OC(C3CCCC3)C4CCCCC4","OC(C3CCCC3)C4CCCCC4",1.,"602c6ec6329a1000012c1443","602c9109329a1000012c307a",1.895065160211729,-3.9236922714080844,-2.150374992788443,-35.28461309038261
25.,"grignard","C[Mg]Br.CC(OC)=O>>CC(C)(O)C","CC(C)(O)C","CC(C)(C)OCc1ccccc1.CCO.[H][H].[Pd]>>CC(C)(O)C","CC(C)(O)C",1.,"602c6ec6329a1000012c1443","602c913d329a1000012c30d1",-48.95455984699984,-6.286715919753862,-66.2646625064904,-17.173908430613075
26.,"grignard","CC[Mg]Br.O=C(OC)C1=CC=CC=C1>>OC(C2=CC=CC=C2)(CC)CC","OC(C2=CC=CC=C2)(CC)CC","Br[Mg]c1ccccc1.CCC(=O)CC>>OC(C2=CC=CC=C2)(CC)CC","OC(C2=CC=CC=C2)(CC)CC",1.,"602c6ec6329a1000012c1443","602c91cf329a1000012c3129",-43.95455984699983,-4.680734118468922,-19.614709844115197,-4.0608951037545085
27.,"grignard","Br[Mg]C1=CC=CC=C1.O=C(OC)C2=CC=CC=C2>>OC(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5","OC(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5","Br[Mg]c1ccccc1.O=C(c1ccccc1)c1ccccc1>>OC(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5","OC(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5",1.,"602c6ec6329a1000012c1443","602c9205329a1000012c31a0",-45.40719109447579,-3.3858909207043757,-33.40719109447579,-3.4481298400694333
28.,"grignard","O=C(OC)C1=CC=CC=C1.C[Mg]Br>>CC(O)(C)C2=CC=CC=C2","CC(O)(C)C2=CC=CC=C2","Br[Mg]c1ccccc1.C1CCOC1.CC(C)=O>>CC(O)(C)C2=CC=CC=C2","CC(O)(C)C2=CC=CC=C2",1.,"602c6ec6329a1000012c1443","602c922f329a1000012c3202",-39.95455984699983,-6.059087624715567,-44.784634845557505,-5.7995143444581805
29.,"grignard","O=C1CCCCC1.C=C[Mg]Br>>OC2(C=C)CCCCC2","OC2(C=C)CCCCC2","C=C[Mg]Br.O=C1CCCCC1>>OC2(C=C)CCCCC2","OC2(C=C)CCCCC2",1.,"602c6ec6329a1000012c1443","602c9259329a1000012c3276",-18.78463484555752,-5.196392471920349,-18.78463484555752,-5.196392471920349
30.,"grignard","Br[Mg]C1=CC=CC=C1.CC(C)CC([H])=O>>OC(CC(C)C)C2=CC=CC=C2","OC(CC(C)C)C2=CC=CC=C2","Br[Mg]c1ccccc1.CC(C)CC=O.CCOCC>>OC(CC(C)C)C2=CC=CC=C2","OC(CC(C)C)C2=CC=CC=C2",1.,"602c6ec6329a1000012c1443","602c928e329a1000012c32e3",1.0649901616540518,-4.4021579069610235,-20.104934839788257,-6.307831259663587
31.,"friedelcrafts","CC(Cl)=O.C1=CC=CC=C1.[Al+3].[Cl-].[Cl-].[Cl-]>>CC(C2=CC=CC=C2)=O","CC(C2=CC=CC=C2)=O","C1CCOC1.CON(C)C(=O)c1ccccc1.C[Mg]I>>CC(C2=CC=CC=C2)=O","CC(C2=CC=CC=C2)=O",1.,"602c6eea329a1000012c1455","602c932d329a1000012c340b",-2.4447848426728953,-35.171667664643465,-121.45642521036112,-9.399796345734996
32.,"friedelcrafts","CCCl.C1=CC=CC=C1.[Al+3].[Cl-].[Cl-].[Cl-]>>CCC2=CC=CC=C2","CCC2=CC=CC=C2","C#Cc1ccccc1.[H][H]>>CCC2=CC=CC=C2","CCC2=CC=CC=C2",1.,"602c6eea329a1000012c1455","602c9357329a1000012c34ab",3.555215157327112,-35.39229935634372,-3.5849625007211543,-7.904237445885197
33.,"friedelcrafts","CCl.C1=CC=CC=C1.[Al+3].[Cl-].[Cl-].[Cl-]>>CC2=CC=CC=C2","CC2=CC=CC=C2","Cc1ccc(S(=O)(=O)O)cc1.[H][H]>>CC2=CC=CC=C2","CC2=CC=CC=C2",0.0114,"602c6eea329a1000012c1455","602c9381329a1000012c350d",7.555215157327112,-36.056364082811974,-71.28421251514428,-7.63865102954021
34.,"friedelcrafts","CC(C)CCl.C1=CC=CC=C1.[Al+3].[Cl-].[Cl-].[Cl-]>>CC(C)(C)C2=CC=CC=C2","CC(C)(C)C2=CC=CC=C2","CC(C)(C)Cl.c1ccccc1>>CC(C)(C)C2=CC=CC=C2","CC(C)(C)C2=CC=CC=C2",1.,"602c6eea329a1000012c1455","602c93a9329a1000012c3543",-0.6147098441152039,-35.05921578553604,1.5552151573271118,-1.8603908104846454
35.,"friedelcrafts","CC(C)C(Cl)=O.C1=CC=CC=C1.[Al+3].[Cl-].[Cl-].[Cl-]>>O=C(C(C)C)C2=CC=CC=C2","O=C(C(C)C)C2=CC=CC=C2","CC(C)C(=O)Cl.c1ccccc1>>O=C(C(C)C)C2=CC=CC=C2","O=C(C(C)C)C2=CC=CC=C2",1.,"602c6eea329a1000012c1455","602c93d3329a1000012c3592",-2.4447848426729024,-34.834286967567486,-2.4447848426729024,-1.8233215729356758
36.,"friedelcrafts","ClC(C)C.C1=CC=CC=C1.[Al+3].[Cl-].[Cl-].[Cl-]>>CC(C)C2=CC=CC=C2","CC(C)C2=CC=CC=C2","C=CC.O=S(=O)(O)O.c1ccccc1>>CC(C)C2=CC=CC=C2","CC(C)C2=CC=CC=C2",1.,"602c6eea329a1000012c1455","602c947d329a1000012c361d",2.385290155884796,-35.18681120310501,-20.849625007211564,-4.918180490620867
37.,"friedelcrafts","CCCC(Cl)=O.C1=CC=CC=C1.[Al+3].[Cl-].[Cl-].[Cl-]>>O=C(CCC)C2=CC=CC=C2","O=C(CCC)C2=CC=CC=C2","Br[Mg]c1ccccc1.CCCC(=O)N(C)OC>>O=C(CCC)C2=CC=CC=C2","O=C(CCC)C2=CC=CC=C2",1.,"602c6eea329a1000012c1455","602c949b329a1000012c3661",-2.444784842672888,-35.133514365925954,-102.28650020891882,-4.7040146936588245
38.,"friedelcrafts","ClC(C1=CC=CN=C1)=O.C2=CC=CC=C2.[Al+3].[Cl-].[Cl-].[Cl-]>>O=C(C3=CC=CC=C3)C4=CC=CN=C4","O=C(C3=CC=CC=C3)C4=CC=CN=C4","Brc1cccnc1.CCOCC.CON(C)C(=O)c1ccccc1>>O=C(C3=CC=CC=C3)C4=CC=CN=C4","O=C(C3=CC=CC=C3)C4=CC=CN=C4",1.,"602c6eea329a1000012c1455","602c94c6329a1000012c36bf",-2.44478484267286,-34.52056164168118,-115.4564252103611,-3.896313495703044
39.,"friedelcrafts","COC1=C([N+]([O-])=O)C=CC=C1.CC(Cl)=O.[Al+3].[Cl-].[Cl-].[Cl-]>>CC(C2=CC([N+]([O-])=O)=C(OC)C=C2)=O","CC(C2=CC([N+]([O-])=O)=C(OC)C=C2)=O","COc1ccc(C(C)=O)cc1.O=S(=O)(O)O.O=[N+]([O-])[O-].[K+].O=[N+]([O-])[O-].[K+]>>CC(C2=CC([N+]([O-])=O)=C(OC)C=C2)=O","CC(C2=CC([N+]([O-])=O)=C(OC)C=C2)=O",1.,"602c6eea329a1000012c1455","602c94f2329a1000012c3733",-12.78463484555752,-35.06547033307702,2.132453084791166,-22.939320982586175
40.,"friedelcrafts","CC1=CC(C)=CC=C1.ClC(C)(C)C.[Al+3].[Cl-].[Cl-].[Cl-]>>CC2=CC(C)=CC(C(C)(C)C)=C2","CC2=CC(C)=CC(C(C)(C)C)=C2","CC(C)(C)Cl.Cc1cccc(C)c1>>CC2=CC(C)=CC(C(C)(C)C)=C2","CC2=CC(C)=CC(C(C)(C)C)=C2",0.0729,"602c6eea329a1000012c1455","602c9533329a1000012c381d",-9.199672344836358,-34.501061804568515,-9.199672344836358,-1.4900964099367044
41.,"asub","BrBr.C1=CC=CC=C1.[Fe+3].[Br-].[Br-].[Br-]>>BrC2=CC=CC=C2","BrC2=CC=CC=C2","O=NO[Na].Br.Nc1ccccc1.O.O=S(=O)(O)O>>BrC2=CC=CC=C2","BrC2=CC=CC=C2",1.,"602c6f13329a1000012c1466","602c95c7329a1000012c389d",25.977279923499925,-38.18761973039594,-76.35595874251669,-20.869922197987115
42.,"asub","CC1=CC=CC=C1.O[N+]([O-])=O.O=S(O)(O)=O>>CC2=CC=C([N+]([O-])=O)C=C2","CC2=CC=C([N+]([O-])=O)C=C2","Cc1ccccc1.F[B-](F)(F)F.O=[N+]=O.F[B-](F)(F)F.O=[N+]=O>>CC2=CC=C([N+]([O-])=O)C=C2","CC2=CC=C([N+]([O-])=O)C=C2",0.303,"602c6f13329a1000012c1466","602c95f2329a1000012c3920",-12.808653226155272,-4.319871036439805,-4.774011405629807,-17.352160147710478
43.,"asub","CC(C1=CC=CC=C1)=O.O[N+]([O-])=O.O=S(O)(O)=O>>CC(C2=CC=CC([N+]([O-])=O)=C2)=O","CC(C2=CC=CC([N+]([O-])=O)=C2)=O","CC(=O)c1ccccc1.O=S(=O)(O)O.O=[N+]([O-])O.O.O.O.O>>CC(C2=CC=CC([N+]([O-])=O)=C2)=O","CC(C2=CC=CC([N+]([O-])=O)=C2)=O",0.998,"602c6f13329a1000012c1466","602c961c329a1000012c3991",13.531196776729388,-4.201605355343295,13.531196776729388,-27.675513047650988
44.,"asub","CC(C1=CC=CC=C1)=O.BrBr.[Fe+3].[Br-].[Br-].[Br-]>>CC(C2=CC=CC(Br)=C2)=O","CC(C2=CC=CC(Br)=C2)=O","Brc1cccc(Br)c1.C1CCOC1.CON(C)C(C)=O.[Li]CCCC>>CC(C2=CC=CC(Br)=C2)=O","CC(C2=CC=CC(Br)=C2)=O",1.,"602c6f13329a1000012c1466","602c9652329a1000012c3a21",41.56224242422108,-37.90970011131621,-101.50186536336128,-9.245311655340787
45.,"asub","BrC1=CC=CC=C1.[Na+].[NH2-].N>>NC2=CC=CC=C2","NC2=CC=CC=C2","CCO.O=[N+]([O-])c1ccccc1.[H][H]>>NC2=CC=CC=C2","NC2=CC=CC=C2",1.,"602c6f13329a1000012c1466","602c967c329a1000012c3aa9",-0.9708536543404875,-23.484124622062236,-65.76327166853847,-9.155452046478647
46.,"asub","O=[N+](C1=CC=CC=C1)[O-].BrBr.[Fe+3].[Br-].[Br-].[Br-]>>BrC2=CC=CC([N+]([O-])=O)=C2","BrC2=CC=CC([N+]([O-])=O)=C2","Br.Nc1cccc([N+](=O)[O-])c1.O=N[O-].[Na+].O=N[O-].[Na+]>>BrC2=CC=CC([N+]([O-])=O)=C2","BrC2=CC=CC([N+]([O-])=O)=C2",1.,"602c6f13329a1000012c1466","602c9706329a1000012c3b46",45.56224242422107,-37.86144144464954,-54.963971116296904,-33.24044998138348
47.,"asub","CC1=CC=C([N+]([O-])=O)C=C1.ClCl.[Al+3].[Cl-].[Cl-].[Cl-]>>CC2=C(Cl)C=C([N+]([O-])=O)C=C2","CC2=C(Cl)C=C([N+]([O-])=O)C=C2","O=NO[Na].Cc1ccc([N+](=O)[O-])cc1N.Cl.Cl[Cu].O.O[Na]>>CC2=C(Cl)C=C([N+]([O-])=O)C=C2","CC2=C(Cl)C=C([N+]([O-])=O)C=C2",1.,"602c6f13329a1000012c1466","602c973c329a1000012c3bc4",45.977279923499935,-36.7140338205289,-61.03990681669495,-31.202371881714242
48.,"asub","CC(C)CC1=CC=CC=C1.O[N+]([O-])=O.O=S(O)(O)=O>>CC(C)CC2=CC=C([N+]([O-])=O)C=C2","CC(C)CC2=CC=C([N+]([O-])=O)C=C2","CC(C)Cc1ccccc1.O.O=[N+]([O-])O>>CC(C)CC2=CC=C([N+]([O-])=O)C=C2","CC(C)CC2=CC=C([N+]([O-])=O)C=C2",0.999,"602c6f13329a1000012c1466","602c9772329a1000012c3c3d",-12.808653226155258,-4.301912913554903,20.210896782498622,-8.148889146651154
49.,"asub","CC(C)CC1=CC=C([N+]([O-])=O)C=C1.ClCl.[Al+3].[Cl-].[Cl-].[Cl-]>>CC(C)CC2=C(Cl)C=C([N+]([O-])=O)C=C2","CC(C)CC2=C(Cl)C=C([N+]([O-])=O)C=C2","CC(C)Cc1ccc([N+](=O)[O-])cc1N.Cl.Cl[Cu].O.O=N[O-].[Na+].O[Na]>>CC(C)CC2=C(Cl)C=C([N+]([O-])=O)C=C2","CC(C)CC2=C(Cl)C=C([N+]([O-])=O)C=C2",1.,"602c6f13329a1000012c1466","602c97a7329a1000012c3cc0",45.97727992349992,-36.685760954286366,-44.700056813810306,-38.42940816053786
50.,"asub","ClC1=CC=CC(Cl)=C1.O[N+]([O-])=O.O=S(O)(O)=O>>ClC2=CC=C([N+]([O-])=O)C(Cl)=C2","ClC2=CC=C([N+]([O-])=O)C(Cl)=C2","Clc1cccc(Cl)c1.O=S(=O)(O)O.O=[N+]([O-])[O-].[K+].O=[N+]([O-])[O-].[K+]>>ClC2=CC=C([N+]([O-])=O)C(Cl)=C2","ClC2=CC=C([N+]([O-])=O)C(Cl)=C2",1.,"602c6f13329a1000012c1466","602c97f4329a1000012c3d3e",35.56094412012342,-4.159345487399063,19.74716292890642,-22.880668533867045
51.,"dielsalder","O=C(/C=C\C(OC)=O)OC.C1=CCCC=C1>>O=C(OC)[C@@H]2[C@@H]3C=C[C@@H](CC3)[C@@H]2C(OC)=O","O=C(OC)[C@@H]2[C@@H]3C=C[C@@H](CC3)[C@@H]2C(OC)=O","C1=CCCC=C1.COC(=O)/C=C\C(=O)OC>>O=C(OC)[C@@H]2[C@@H]3C=C[C@@H](CC3)[C@@H]2C(OC)=O","O=C(OC)[C@@H]2[C@@H]3C=C[C@@H](CC3)[C@@H]2C(OC)=O",0.0234,"602c6f49329a1000012c147a","602c9a67329a1000012c4016",134.37895002019238,-0.8312269636535135,134.37895002019238,-0.8312269636535135
52.,"dielsalder","C=CC=C.C=C>>C1=CCCCC1","C1=CCCCC1","[H][H].c1ccccc1>>C1=CCCCC1","C1=CCCCC1",0.299,"602c6f49329a1000012c147a","602c9aa8329a1000012c40a2",6.,-5.3090834940542875,8.415037499278844,-5.70130157731756
53.,"dielsalder","O=C(C=C1)C=CC1=O.C=C/C=C/C(O)=O>>[H][C@]23[C@]([C@H](C(O)=O)C=CC3)([H])C(C=CC2=O)=O","[H][C@]23[C@]([C@H](C(O)=O)C=CC3)([H])C(C=CC2=O)=O","O=C1C=CC(O)[C@H]2[C@@H]1CC=C[C@H]2C(O)O.CC(C)=O.CC(C)=O.O=S(=O)(O)O.O=[Cr](=O)=O>>[H][C@]23[C@]([C@H](C(O)=O)C=CC3)([H])C(C=CC2=O)=O","[H][C@]23[C@]([C@H](C(O)=O)C=CC3)([H])C(C=CC2=O)=O",0.299,"602c6f49329a1000012c147a","602c9ac5329a1000012c40c1",99.52932501298082,-1.0935272971651502,-104.64361252668277,-11.245167417752242
54.,"dielsalder","CC(/C(SC1=CC=CC=C1)=C/OC(C)=O)=O.C=COCC>>CC2=C(SC3=CC=CC=C3)[C@H](OC(C)=O)C[C@H](OCC)O2","CC2=C(SC3=CC=CC=C3)[C@H](OC(C)=O)C[C@H](OCC)O2","CCO[C@H]1C[C@@H](O)C(Sc2ccccc2)=C(C)O1.CC(=O)OC(C)=O.c1ccncc1>>CC2=C(SC3=CC=CC=C3)[C@H](OC(C)=O)C[C@H](OCC)O2","CC2=C(SC3=CC=CC=C3)[C@H](OC(C)=O)C[C@H](OCC)O2",1.,"602c6f49329a1000012c147a","602c9b3d329a1000012c4208",67.52932501298079,-2.3375581159961465,-30.908518696265162,-3.732966303894796
55.,"dielsalder","C=C/C=C/C.C=CC(OC)=O>>C[C@H]1C=CCC[C@H]1C(OC)=O","C[C@H]1C=CCC[C@H]1C(OC)=O","C[C@H]1C=CCC[C@H]1C(=O)O.CO.O=C([O-])O.[Na+].O=S(=O)(O)O>>C[C@H]1C=CCC[C@H]1C(OC)=O","C[C@H]1C=CCC[C@H]1C(OC)=O",0.999,"602c6f49329a1000012c147a","602c9b7b329a1000012c4280",34.67970000576925,-2.6860125966181174,-70.52932501298082,-16.343321714756165
56.,"dielsalder","C=CC=C.O=C(/C=C\C(OC)=O)OC>>O=C([C@H]1CC=CC[C@H]1C(OC)=O)OC","O=C([C@H]1CC=CC[C@H]1C(OC)=O)OC","CC(=O)Cl.CO.O=C(O)[C@H]1CC=CC[C@H]1C(=O)O>>O=C([C@H]1CC=CC[C@H]1C(OC)=O)OC","O=C([C@H]1CC=CC[C@H]1C(OC)=O)OC",0.971,"602c6f49329a1000012c147a","602c9c23329a1000012c433d",101.52932501298079,-2.686192083295759,-33.614709844115225,-4.855035443157363
57.,"dielsalder","C=CC=C.O=C(/C=C/C(OC)=O)OC>>O=C([C@@H]1CC=CC[C@H]1C(OC)=O)OC","O=C([C@@H]1CC=CC[C@H]1C(OC)=O)OC","CO.O=C(O)[C@@H]1CC=CC[C@H]1C(=O)O.O=S(Cl)Cl>>O=C([C@@H]1CC=CC[C@H]1C(OC)=O)OC","O=C([C@@H]1CC=CC[C@H]1C(OC)=O)OC",0.996,"602c6f49329a1000012c147a","602c9c58329a1000012c43ca",17.33985000288463,-2.686192083295759,-36.29440984988446,-6.74745852008044
58.,"dielsalder","C/C=C/C=C\C.O=C(C#CC(OC)=O)OC>>C[C@H]1C(C(OC)=O)=C(C(OC)=O)[C@H](C)C=C1","C[C@H]1C(C(OC)=O)=C(C(OC)=O)[C@H](C)C=C1","COC(=O)C1=C(C(=O)O)[C@H](C)C=C[C@H]1C.CI.CN(C)C=O.O=C([O-])[O-].[K+].[K+]>>C[C@H]1C(C(OC)=O)=C(C(OC)=O)[C@H](C)C=C1","C[C@H]1C(C(OC)=O)=C(C(OC)=O)[C@H](C)C=C1",0.999,"602c6f49329a1000012c147a","602c9c8c329a1000012c4433",2.000000000000014,-2.5759699601282975,-165.281372243857,-27.260961987011626
59.,"dielsalder","C=CC=C.O=C(C=C1)OC1=O>>O=C([C@@H]2[C@H]3CC=CC2)OC3=O","O=C([C@@H]2[C@H]3CC=CC2)OC3=O","CC(=O)OC(C)=O.O=C(O)[C@@H]1CC=CC[C@H]1C(=O)O.c1ccncc1>>O=C([C@@H]2[C@H]3CC=CC2)OC3=O","O=C([C@@H]2[C@H]3CC=CC2)OC3=O",0.808,"602c6f49329a1000012c147a","602c9ccc329a1000012c44c1",90.35940001153851,-3.14584905984778,1.7711813095041293,-3.1015814167008804
